,0
Gabarapl2,0.2409412341987069
Cox6b1,0.24039492564449816
Cox6a1,0.23912929390447063
Arpc4,0.23907284036852397
Polr1d,0.23892457220640104
Atp5j2,0.23827323489216473
Prkar1a,0.23818949121045083
S100a13,0.23808305548172992
Ubl5,0.238068943014191
Slc25a3,0.2378841879181412
Rgs10,0.23763625787430714
Cox7a2,0.23689643348177272
Itgb2,0.23685923830064282
Gnai2,0.2365589156313396
Chchd2,0.23652336974307206
Sec61g,0.23599093908919141
Txn1,0.23561696139637459
Atp6v0e,0.2355655260093945
Lgals1,0.2353025119555479
Limd2,0.23530220573738786
mt-Co1,0.23527898294734034
H3f3a,0.23514707406517746
Tnfaip8,0.23466034310654577
Gmfg,0.23450007525416688
Tspo,0.23300090679473234
Tox,0.23271755272066066
Eef2,0.23170037463851922
Cd247,0.23135073045939386
Ndufb3,0.23124374881283152
Ube2i,0.23112647218414342
B2m,0.23096659940870648
Cdc42,0.2300126042462272
Ndufb9,0.22993306076285588
Tmem50a,0.22948997996747256
H2-K1,0.22915878849394847
mt-Atp6,0.22902121191900865
Psmb3,0.22842545213391258
Atp5h,0.2283403148285252
Uqcrb,0.22805146711125898
Tpm4,0.22783807622767635
Sumo1,0.22763065746608369
Ubb,0.22755195350906487
Cd3e,0.22693906321515256
Gm8797,0.22683722592517191
Nab1,0.22667964288544157
Rhoa,0.22612529680377697
Nedd8,0.22464938420856423
Gng2,0.2246002933376869
Psmb1,0.22456408045826054
Ube2d3,0.22409789950928366
Hspa5,0.224013312050344
Ube2l3,0.22373652661581409
Hpcal1,0.2233904409289651
Ywhah,0.22327899191727144
Fis1,0.22221329388208164
Arf5,0.22168588518192078
Sumo2,0.22137881934083847
Ppib,0.2211030030287664
Eif3k,0.22068690447732445
Arhgdia,0.22055057836763975
Map2k3,0.22026870198285295
Atp5a1,0.2200612233759785
Ctsd,0.2196476478932195
Atp5d,0.21945865202349402
Atp5b,0.21890385752423372
Aldoa,0.2188980840197538
Gng5,0.21881683206204486
Tmem9b,0.2186487667242045
Taldo1,0.21862255625466043
Vasp,0.21854490134972981
Stk17b,0.21846106259111073
Rpsa,0.21839285569140202
Cox5a,0.21836934984471584
Psmb6,0.21806950886725338
Sub1,0.21756425109695487
mt-Nd4,0.21731322699937422
Atp5c1,0.21723345824549578
Ubc,0.21714928508687903
Eef1a1,0.21689714152758305
Sri,0.21647359554484824
Psmd8,0.21643641991643012
mt-Co3,0.21627091541943164
Ndufs5,0.21569993781425958
Ap2s1,0.2156780723711602
Ndufa3,0.21507019624753254
Arl6ip5,0.21483584622357518
Slc25a4,0.21442842294307757
Tma7,0.21344772689240057
Ndufa2,0.2133915446656305
Lrrfip1,0.21287994867194246
Cox7c,0.2128017617160775
Gch1,0.21276100545878981
D8Ertd738e,0.2125998909562971
mt-Cytb,0.21204954849425178
Btf3,0.21202158525660716
Cnn2,0.21193249443542614
Tonsl,0.21153533449228107
Sec61b,0.2114349258617619
Gm8730,0.2113239806647571
Tmem258,0.2112070161341902
Dap,0.21092806961445817
Tceb2,0.2108398605839772
Hcls1,0.21079524257139665
mt-Co2,0.21053854167382982
Calm2,0.21038368461880474
Gpi1,0.2103507011492583
Hmgb1,0.20998087793417297
Smco4,0.20965549663040026
Fth1,0.209589705635412
Psma2,0.2095271048224716
